file_name,phishing_type,speaker,text
phishing_1768_augmented_1,콜백스미싱형,1,"네, 잠깐만요, 잠깐 밖으로 나가서 받을게요, 잠시만 기다려 주세요. 네, 말씀하세요. 네, 네, 여보세요."
phishing_1768_augmented_1,콜백스미싱형,1,"안녕하세요? 네, 맞아요. 저는 연락드리는 담임 선생님이 아닙니다."
phishing_1768_augmented_1,콜백스미싱형,0,그 사건을 수사하는 중에 현재 당신과 관련된 사건이 있어 확인 차 연락드렸습니다.
phishing_1768_augmented_1,콜백스미싱형,1,저는 사건과 관련된 일이 있어요.
phishing_1768_augmented_1,콜백스미싱형,1,"아, 그러면 김병현이라는 분과는 어떤 관계이신가요?"
phishing_1768_augmented_1,콜백스미싱형,1,"안녕하세요, 김주입니다."
phishing_1768_augmented_1,콜백스미싱형,0,"안녕하세요, 이제 남자입니다. 이분과는 어떤 관계신가요?"
phishing_1768_augmented_1,콜백스미싱형,1,김지현 씨는 제가 잘 알지 못하는 분이네요.
phishing_1768_augmented_1,콜백스미싱형,1,"네, 잘 모르셨나요?"
phishing_1768_augmented_1,콜백스미싱형,0,"네, 그 이유는 저희 수사팀이 지난주 화요일 서울 마포 지역에서 주범인 김대훈을 포함해 총 8명의 금융 사기 범죄자를 검거했기 때문입니다."
phishing_1768_augmented_1,콜백스미싱형,0,"네, 현장에서 이 사람을 체포했을 때 대량의 복제된 신용카드와 주민등록증, 그리고 대표 통장을 압수했습니다."
phishing_1768_augmented_1,콜백스미싱형,0,그런데 그 중에 본인 명의의 하나은행 통장과 농협은행 통장이 있어서 확인을 위해 연락드렸습니다.
phishing_1768_augmented_1,콜백스미싱형,0,"네, 혹시 제가 계좌를 개설한 후에 다른 사람에게 양도하거나 인출한 적이 있으신가요?"
phishing_1768_augmented_1,콜백스미싱형,1,"아니요, 별로 없어요. 왜 제가 통장을 드리죠?"
phishing_1768_augmented_1,콜백스미싱형,0,"아, 하나은행이나 농협은행에 거래해본 적 있으신가요?"
phishing_1768_augmented_1,콜백스미싱형,1,저는 농협에 가려고 하는데요.
phishing_1768_augmented_1,콜백스미싱형,0,농협에서만 거래하셨던 것 같은데요. 저희가 그 계좌 개설에 대해 확인해봤습니다. 그 계좌에 대해 말씀드리려는 겁니다.
phishing_1768_augmented_1,콜백스미싱형,0,"2014년 11월 14일, 서울 마포에 있는 덕화주전에서 농협은행 계좌가 개설되었습니다."
phishing_1768_augmented_1,콜백스미싱형,0,"네, 그렇다면 2014년 11월 21일에 송파구 지점에서 하나은행 계좌를 개설하신 것 같은데, 본인이 직접 개설하신 거 맞나요?"
phishing_1768_augmented_1,콜백스미싱형,1,저는 아무것도 개설하지 않았어요. 하나은행 건은요?
phishing_1768_augmented_1,콜백스미싱형,1,걱정할 개는 없어요.
phishing_1768_augmented_1,콜백스미싱형,1,"네, 어느 동네를 말씀하시는 건가요?"
phishing_1768_augmented_1,콜백스미싱형,1,"어, 2014년 11월 14일에 서울 마포 도화지점에서 농세가 있었어."
phishing_1768_augmented_1,콜백스미싱형,1,그곳에 간 적이 없어.
phishing_1768_augmented_1,콜백스미싱형,0,앞으로.
phishing_1768_augmented_1,콜백스미싱형,1,그럼 저는 강릉에 살아서 강릉에서만 거래를 해요.
phishing_1768_augmented_1,콜백스미싱형,0,"아, 저는 11월에 서울에 올라온 적이 없다고 말씀드린 적이 없어요."
phishing_1768_augmented_1,콜백스미싱형,1,"네, 서울에는 가본 적이 없어요."
phishing_1768_augmented_1,콜백스미싱형,0,"어, 지금 이 사건에 대해 말씀드리는 건데요, 현재 본인 뿐만 아니라 저도 이 사건과 관련된 상황에 놓여 있어요."
phishing_1768_augmented_1,콜백스미싱형,1,제가요?
phishing_1768_augmented_1,콜백스미싱형,0,"아니요, 이번 사건에 대한 건데요, 지금 당신 한 분만, 네, 약 300명 정도가 이번 사건과 관련이 있습니다."
phishing_1768_augmented_1,콜백스미싱형,1,"네, 그 많은 분들이 지금 조사하면서 이 일을 주목하고 계십니다."
phishing_1768_augmented_1,콜백스미싱형,0,그 중에서 현재 생활이 어려운 많은 분들이 돈을 받으려고 통장을 판매하는 경우가 정말 많습니다.
phishing_1768_augmented_1,콜백스미싱형,1,"네, 그거는 알죠, 저도 그렇고요."
phishing_1768_augmented_1,콜백스미싱형,0,"네, 그리고 그 인터넷 해킹 사건으로 인해 개인 정보가 유출된 탓에 피해를 보는 분들이 정말 많습니다."
phishing_1768_augmented_1,콜백스미싱형,1,"네, 그러니까 자신이 피해를 입었다고 생각하신다면, 피해 사실을 명확히 하고 잘 정리해야 합니다."
phishing_1768_augmented_1,콜백스미싱형,0,"당신이 범죄자라면, 대한민국 법에 따라 처벌을 받을 것입니다."
phishing_1768_augmented_1,콜백스미싱형,0,"네, 우선 제 입장에서는 수사에는 절차가 필요하기 때문입니다."
phishing_1768_augmented_1,콜백스미싱형,0,본인 명의로 14일부터 1대1 전화 통화 녹음 방식으로 조사를 진행할 예정입니다.
phishing_1768_augmented_1,콜백스미싱형,1,보내준다고 하신 건가요?
phishing_1768_augmented_1,콜백스미싱형,0,"네, 네, 현재 문제에 관해 김 씨와 통화했는데, 지금 이분이..."
phishing_1768_augmented_1,콜백스미싱형,0,"당신은 본인 명의로 된 농협은행과 하나은행 계좌를 통해 1,200만 원의 불법 자금을 세탁하고 있는 상황입니다."
phishing_1768_augmented_1,콜백스미싱형,1,"네, 네, 맞아요. 뭐 수사를 하신다니까, 본인께서는 이런 사건과는 전혀 관련이 없으시다네요."
phishing_1768_augmented_1,콜백스미싱형,0,연휴가 없다면 더 이상의 피해가 발생하지 않도록 조치를 취해드리겠습니다.
phishing_1768_augmented_1,콜백스미싱형,0,"네, 맞아요, 그리고 뭔가 깨달음이 있어요."
phishing_1768_augmented_1,콜백스미싱형,0,"네, 당장 그 본인 이름으로 개금 관련 신고를 해드리겠습니다. 네, 네, 그러면 통화 내용에 대해서는..."
phishing_1768_augmented_1,콜백스미싱형,0,모든 내용은 녹음되어 법적 증거로 남게 될 것입니다.
phishing_1768_augmented_1,콜백스미싱형,1,"네, 알겠습니다. 그러면 제가 간단하게 몇 가지 질문 드리고 답변해 주시면 좋겠습니다. 그 사실에 대해 말씀해 주실 수 있으신가요?"
phishing_1768_augmented_1,콜백스미싱형,1,"네, 여보세요? 네, 네, 맞습니다. 지금 현재 0730 김 대현미 도 사건에 대한 1대 1 통화 녹음이 진행 중입니다."
phishing_1768_augmented_1,콜백스미싱형,0,해당 당사자는 바로 그 사람입니다.
phishing_1768_augmented_1,콜백스미싱형,1,"네, 맞아요."
